primary_label,secondary_labels,type,filename,collection,rating,url,latitude,longitude,scientific_name,common_name,author,license,class_name,rms_reduced,rms_compressed,frequency_reduced,frequency_compressed,spectral_centroid_reduced,spectral_centroid_compressed,snr_reduced,snr_compressed,high_hnr_reduced,low_hnr_reduced,high_hnr_compressed,low_hnr_compressed,tonnetz_reduced,tonnetz_compressed,mfcc_reduced,mfcc_compressed,roll_off_reduced,roll_off_compressed,flatness_reduced,flatness_compressed,contrast_reduced,contrast_compressed
523060,[''],[''],523060/CSA34181.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34181/IAvH-CSA-34181.mp3,-3.8333,-70.3333,Eschatoceras bipunctatus,Eschatoceras bipunctatus,Fernando Montealegre-Z,cc-by-nc-sa 4.0,Insecta,0.00023281724,0.00020429459,2880.5466215097495,4351.913122111215,4700.264848139928,6388.007949218668,-9.8811655,-8.82653,-23.270515,-11.140174,-39.437813,-11.896112,0.0031675991909266045,0.0012864891869836643,-32.86653,-45.477604,8395.337518370978,9360.120958384901,0.10034478,0.16697013,19.329228005126797,19.507398098730274
715170,[''],[''],715170/CSA35806.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-35806/IAvH-CSA-35806.mp3,5.6519,-73.5077,Copris susanae,Copris susanae,Angela M. Mendoza-Henao,cc-by-nc-sa 4.0,Insecta,0.011296716,0.009899827,6873.60360367724,5998.306341294361,3145.9833039094497,6072.315923975043,-8.277857,-5.750861,-8.938578,-4.9387,-43.23974,-34.059555,-0.005155124439371823,-0.005220000415777076,-11.432975,-24.34686,5336.017733830786,9109.07825198336,0.05173927,0.10936456,20.22204510687515,20.08202244687326
48124,[''],[''],48124/CSA18785.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18785/IAvH-CSA-18785.mp3,5.7892,-73.5504,Tettigoniidae,Katydids,Diego A Gómez-Morales,cc-by-nc-sa 4.0,Insecta,0.014375738,0.0013659255,8414.544577009847,3101.605503661187,1355.4790677748526,4727.510809525579,-11.890435,-25.11824,11.238336,17.81717,-18.103199,-6.2547436,-0.0009771760029185263,0.015015350832032964,-11.83407,-25.222437,3164.9891950766737,8171.458921639174,0.0008131518,0.061455622,21.309866207396436,20.896349550387907
1564122,[''],[''],1564122/CSA34200.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34200/IAvH-CSA-34200.mp3,-3.8333,-70.3333,Daedadelus waehnerorum,Daedadelus waehnerorum,Fernando Montealegre-Z,cc-by-nc-sa 4.0,Insecta,0.000477358,0.0003637472,2625.2749292401,4454.838012727502,5036.586879159133,6524.513557400254,-12.194162,-14.549654,-14.042715,-0.29974455,-31.204945,-0.85181296,-0.001828522090138973,-0.0032866570770050305,-30.548952,-43.486835,8724.78651889535,9424.782544513082,0.050759766,0.12315768,21.035537109362163,21.213355915009537
52884,[''],[''],52884/CSA36344.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36344/IAvH-CSA-36344.mp3,7.3791,-73.7313,Gryllidae,True Crickets,Fabio A. Sarria-S,cc-by-nc-sa 4.0,Insecta,0.01301172,0.011809281,2405.55436182718,4045.363403917475,4759.270877119209,5505.1857065941185,-6.1854296,-7.5904617,-38.285046,-17.280811,-35.77784,-14.767165,0.009239232297727306,0.013571143589769154,-24.84517,-31.621181,7107.640354404509,7828.485995549536,0.08450025,0.04845506,23.862961125568816,24.28843221129451
50186,[''],[''],50186/CSA18282.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18282/IAvH-CSA-18282.mp3,6.4365,-74.1317,Cicadidae,Typical Cicadas,Orlando Acevedo-Charry,cc-by-nc-sa 4.0,Insecta,0.005242697,0.0051629283,5183.273875945517,7263.557032094849,4554.744673361168,6634.737377990755,-4.7946224,-4.139022,-27.674553,-8.422824,-35.41321,-11.770151,0.006789749536606719,0.003937323223899656,-18.397203,-30.924337,7563.654263617454,8636.731108201915,0.044791445,0.044617068,21.837358342879337,21.571162411184417
52884,[''],[''],52884/CSA18786.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-18786/IAvH-CSA-18786.mp3,5.7892,-73.5504,Gryllidae,True Crickets,Diego A Gómez-Morales,cc-by-nc-sa 4.0,Insecta,0.02096601,0.015282603,3508.423366929274,3539.6915316894597,2976.826827420498,4037.9693023092123,-12.986443,-16.092869,-2.6749673,10.258073,-17.498438,8.608603,0.0015297023724252057,0.0002628247245633151,-10.676918,-23.550419,3827.685187844669,4519.306005708204,0.005768857,0.0132978475,25.407129978970545,24.999040512974073
868458,[''],[''],868458/CSA34218.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34218/IAvH-CSA-34218.mp3,-3.8333,-70.3333,Typophyllum inflatum,Typophyllum inflatum,Fernando Montealegre-Z,cc-by-nc-sa 4.0,Insecta,0.0014871232,0.0013200559,2455.5116271964143,2669.7247732347746,4496.171874808937,5760.710469023804,-12.272064,-13.234702,-31.855204,-3.1201968,-34.10646,-2.6401496,6.233234103730831e-05,0.0012627728537863766,-26.600004,-39.553974,7887.804320511545,9003.793432150676,0.085871436,0.12612855,21.350045034440512,21.44898516848381
963335,[''],[''],963335/CSA36377.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-36377/IAvH-CSA-36377.mp3,7.28,-73.8582,Subria sylvestris,Subria sylvestris,Fabio A. Sarria-S,cc-by-nc-sa 4.0,Insecta,0.0064472496,0.0016375011,1583.4010158111257,3859.5047454142123,2974.954433312818,5067.354330764622,-7.6655717,-17.74391,-19.055595,-2.5736961,-33.28399,-18.372265,0.0020532476420511304,-0.0022387300661805176,-18.218294,-29.521652,5156.168821352554,8202.400401206947,0.12839727,0.14693955,20.145224743247137,19.951937035109662
50186,[''],[''],50186/CSA34622.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-34622/IAvH-CSA-34622.mp3,3.8872,-73.5909,Cicadidae,Typical Cicadas,Eliana Barona- Cortés,cc-by-nc-sa 4.0,Insecta,0.009372804,0.0055693616,1103.736441360358,4735.585950946928,3865.6272160055983,5686.831554936199,-9.722548,-15.943756,-0.86046803,4.5269303,-22.232035,-0.09965193,-0.05002279080893261,-0.02428128898373192,-9.462603,-22.73302,6780.675664848587,8391.990921445675,0.0755807,0.13893138,20.49687444715812,20.51246693851377
48124,[''],[''],48124/CSA35181.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-35181/IAvH-CSA-35181.mp3,7.3489,-73.899,Tettigoniidae,Katydids,Diego A. Gomez-Morales,cc-by-nc-sa 4.0,Insecta,0.0005559768,0.00015329363,70.9187171836551,6877.059598230708,2398.265834145327,5560.963667301961,-13.619857,-24.550802,-5.9363866,8.014713,-16.40968,-1.0320276,-0.06943305685240471,-0.05896617493647151,-21.755917,-34.640476,6375.169783553841,8602.11465085623,0.016728139,0.21163654,20.280003389479393,20.238041275467356
715170,[''],[''],715170/CSA35802.ogg,CSA,0.0,http://colecciones.humboldt.org.co/rec/sonidos/IAvH-CSA-35802/IAvH-CSA-35802.mp3,5.6519,-73.5077,Copris susanae,Copris susanae,Angela M. Mendoza-Henao,cc-by-nc-sa 4.0,Insecta,0.0073688445,0.00768526,7097.450756574836,6707.028417354467,3410.29763593879,6218.2303298773295,-5.9593434,-3.4871283,-13.308635,-5.210087,-47.566086,-35.556053,0.0014659151895670228,0.00010283315031718076,-14.376294,-27.710077,5668.465723563274,9154.82797534104,0.05197734,0.09021243,20.37307569331797,20.258069848651356
